Row,ID,Height,Weight (in),Release Clause (Eur),Value (Eur),Wage (Eur)
46,193041,73,176,625000000,305000000,195000
47,192505,75,207,1203000000,625000000,230000
48,192387,73,187,884000000,52000000,115000
49,189332,67,150,779000000,38000000,250000
50,175943,67,134,765000000,45000000,135000
51,172871,74,190,629000000,34000000,155000
52,171877,72,174,791000000,465000000,125000
53,168651,72,172,953000000,465000000,260000
54,152729,76,187,697000000,34000000,240000
55,222492,72,165,1251000000,61000000,195000
56,218667,68,141,1145000000,595000000,180000
57,210257,74,190,799000000,415000000,125000
58,208722,69,152,1027000000,52000000,195000
59,203376,76,203,879000000,445000000,165000
60,202652,67,152,1088000000,565000000,195000
61,201942,71,168,1047000000,53000000,195000
62,201535,75,179,1063000000,50000000,210000
63,199556,65,132,1059000000,55000000,135000
64,191043,71,176,602000000,365000000,160000
65,190483,68,154,767000000,465000000,175000
66,189596,73,165,743000000,45000000,135000
67,189509,69,154,751000000,455000000,130000
68,188350,71,157,74000000,435000000,100000
69,184432,70,168,648000000,35000000,175000
70,184344,75,187,495000000,30000000,160000
71,184087,73,179,751000000,39000000,150000
72,180206,70,159,726000000,44000000,180000
73,177509,74,207,495000000,30000000,160000
74,176635,71,168,827000000,435000000,190000
75,135507,70,148,333000000,18000000,185000
76,41,67,150,269000000,215000000,21000
77,232363,74,176,884000000,465000000,82000
78,223848,75,168,896000000,505000000,73000
79,220834,72,168,1215000000,54000000,215000
80,216594,68,165,988000000,50000000,92000
81,212831,75,201,721000000,365000000,115000
82,212622,69,154,699000000,405000000,92000
83,208421,72,170,1073000000,505000000,77000
84,204485,70,148,749000000,405000000,205000
85,197445,71,168,656000000,38000000,110000
86,193747,69,163,956000000,45000000,88000
87,193301,69,161,889000000,45000000,180000
88,192774,74,183,666000000,375000000,96000
89,192366,72,179,527000000,285000000,170000
90,189513,72,163,777000000,37000000,66000
91,187961,72,157,,37000000,235000
92,186153,77,198,552000000,32000000,125000
93,184941,67,163,694000000,375000000,215000
94,184267,69,146,78000000,39000000,28000
95,183907,76,198,495000000,30000000,115000
96,181872,71,165,533000000,26000000,205000
97,181458,73,176,638000000,375000000,110000
98,180930,76,185,519000000,305000000,115000
99,179846,74,198,545000000,33000000,160000
100,179844,74,190,789000000,385000000,100000
101,178518,69,170,604000000,355000000,105000
102,171919,78,201,153000000,9000000,38000
103,170890,71,165,429000000,26000000,145000
104,168609,73,172,264000000,155000000,96000
105,165153,73,179,759000000,37000000,240000
106,164169,72,163,441000000,215000000,81000
107,139720,75,187,407000000,22000000,170000
108,120533,74,179,171000000,9000000,57000
109,41236,77,209,21000000,14000000,15000
110,220793,74,174,655000000,34000000,105000
111,216460,73,176,723000000,34000000,63000
112,212462,71,157,664000000,32000000,22000
113,212218,74,187,655000000,34000000,135000
114,212198,70,152,84000000,405000000,22000
115,212190,77,214,675000000,365000000,84000
116,211300,72,168,871000000,425000000,165000
117,211117,74,176,871000000,425000000,115000
118,209499,74,172,672000000,34000000,120000
119,207865,72,165,683000000,355000000,90000
120,207566,74,183,685000000,315000000,38000
121,205498,71,148,732000000,38000000,155000
122,204970,70,154,77000000,39000000,72000
123,204963,68,161,669000000,315000000,185000
124,202556,69,172,83000000,42000000,93000
125,200104,72,143,712000000,37000000,125000
126,199482,72,179,494000000,25000000,72000
127,198176,74,172,559000000,315000000,88000
128,198009,74,170,509000000,295000000,105000
129,193082,70,159,487000000,295000000,150000
130,192629,69,148,63000000,30000000,45000
131,192563,75,183,533000000,27000000,115000
132,191202,76,187,444000000,24000000,165000
133,190941,76,187,374000000,22000000,74000
134,190584,70,165,651000000,31000000,51000
135,188377,72,154,453000000,245000000,165000
136,186942,71,176,592000000,32000000,175000
137,185020,70,161,468000000,275000000,105000
138,183898,71,152,546000000,295000000,125000
139,181783,75,187,413000000,25000000,160000
140,180403,69,172,564000000,305000000,175000
141,178750,74,192,522000000,24000000,42000
142,178562,69,157,609000000,29000000,31000
143,177413,74,179,408000000,24000000,77000
144,177388,69,170,523000000,275000000,75000
145,176769,71,163,33000000,165000000,25000
146,172879,73,187,437000000,23000000,140000
147,167628,74,205,361000000,19000000,41000
148,167397,70,159,475000000,25000000,115000
149,163587,74,196,361000000,19000000,78000
150,157481,75,181,306000000,18000000,88000
151,143076,65,150,51000000,30000000,53000
152,137186,74,192,69000000,42000000,95000
153,20775,69,148,295000000,155000000,80000
154,9014,71,176,256000000,155000000,110000
155,231443,70,148,90000000,40000000,155000
156,230666,69,161,841000000,41000000,130000
157,230481,70,165,504000000,28000000,51000
158,230375,73,176,405000000,225000000,43000
159,230294,74,183,542000000,285000000,60000
160,225850,74,176,625000000,305000000,82000
161,220971,68,141,672000000,34000000,120000
162,219683,71,179,587000000,34000000,85000
163,213565,67,137,799000000,355000000,64000
164,213345,70,157,587000000,34000000,85000
165,213331,77,214,524000000,295000000,67000
166,212523,75,176,,365000000,18000
167,212188,71,165,612000000,345000000,70000
168,210008,76,176,635000000,33000000,91000
169,209658,74,174,587000000,34000000,85000
170,208808,69,159,663000000,305000000,28000
171,208670,71,143,479000000,325000000,28000
172,208618,68,154,554000000,27000000,205000
173,208418,71,161,734000000,33000000,20000
174,208093,71,170,696000000,32000000,53000
175,207863,75,190,40000000,20000000,22000
176,207410,69,172,,35000000,165000
177,206585,73,187,584000000,285000000,84000
178,206545,70,165,653000000,30000000,49000
179,206113,69,165,595000000,345000000,85000
180,204935,73,170,494000000,25000000,78000
181,204639,74,174,553000000,26000000,67000
182,203574,74,154,549000000,285000000,125000
183,202651,69,154,586000000,33000000,115000
184,202166,74,170,626000000,325000000,91000
185,201995,69,154,622000000,315000000,110000
186,200949,69,154,597000000,31000000,115000
187,200888,74,183,56000000,27000000,21000
188,200724,71,168,521000000,245000000,180000
189,200316,76,198,378000000,24000000,25000
190,199914,69,163,451000000,265000000,87000
191,199845,76,194,323000000,19000000,64000
192,199564,70,150,563000000,265000000,170000
193,198329,72,170,663000000,305000000,57000
194,197965,70,159,51000000,255000000,22000
195,195365,70,148,451000000,265000000,74000
196,194404,75,185,457000000,21000000,41000
197,193698,74,181,373000000,21000000,42000
198,193474,69,146,399000000,21000000,125000
199,192883,70,165,485000000,255000000,145000
200,192638,74,192,462000000,24000000,130000
201,192593,75,185,247000000,13000000,70000
202,190547,75,176,361000000,19000000,86000
203,189712,73,176,399000000,21000000,66000
204,189068,77,196,52000000,26000000,26000
205,188152,70,146,694000000,305000000,29000
206,186627,74,194,523000000,275000000,55000
207,185221,74,172,361000000,19000000,63000
208,184942,68,150,442000000,26000000,64000
209,179944,74,190,324000000,175000000,130000
210,179783,78,216,355000000,20000000,38000
211,178088,67,139,453000000,245000000,160000
212,178086,75,203,318000000,155000000,55000
213,178005,75,185,314000000,165000000,74000
214,177683,72,174,355000000,20000000,35000
215,177610,76,190,33000000,20000000,94000
216,177457,73,179,34000000,20000000,82000
217,176266,70,172,298000000,175000000,64000
218,163705,73,181,247000000,13000000,51000
219,162895,70,170,407000000,22000000,140000
220,162240,73,181,444000000,24000000,120000
221,156616,67,159,19000000,115000000,72000
222,104389,75,181,221000000,13000000,33000
223,53302,72,183,136000000,8000000,80000
224,24630,74,203,102000000,6000000,56000
225,236583,77,179,346000000,195000000,30000
226,235243,74,196,432000000,27000000,11000
227,231866,75,181,616000000,29000000,59000
228,230658,67,161,731000000,325000000,125000
229,230621,77,198,551000000,29000000,23000
230,230258,69,154,314000000,165000000,46000
231,230225,71,181,124000000,65000000,39000
232,230168,75,187,252000000,14000000,32000
233,227055,68,159,627000000,295000000,59000
234,224411,70,150,631000000,29000000,36000
235,223959,66,141,494000000,25000000,98000
236,222737,68,163,709000000,315000000,140000
237,221087,74,170,468000000,215000000,21000
238,220814,72,168,574000000,255000000,53000
239,220440,73,179,585000000,26000000,135000
240,216354,70,161,462000000,26000000,54000
241,216267,70,141,484000000,245000000,98000
242,216194,71,176,435000000,20000000,33000
243,212404,73,170,509000000,295000000,110000
244,212194,73,185,58000000,305000000,68000
245,211320,75,185,423000000,245000000,95000
246,210617,72,148,515000000,29000000,94000
247,210514,72,163,472000000,255000000,95000
248,210413,74,172,504000000,265000000,84000
249,209989,73,170,574000000,255000000,59000
250,209297,67,141,51000000,265000000,140000
251,208830,70,163,38000000,20000000,96000
252,208596,71,159,533000000,30000000,58000
253,208448,70,163,462000000,26000000,67000
254,207494,69,137,51000000,265000000,140000
255,207471,73,181,452000000,215000000,27000
256,205678,68,139,428000000,225000000,40000
257,205452,75,187,433000000,225000000,110000
258,203551,68,148,364000000,205000000,73000
259,203263,76,220,464000000,235000000,77000
260,202371,75,198,404000000,21000000,87000
261,201956,77,187,315000000,185000000,41000
262,201455,74,176,598000000,275000000,46000
263,201400,69,157,627000000,295000000,165000
264,201305,74,174,457000000,21000000,44000
265,201153,74,187,549000000,285000000,135000
266,199987,73,183,383000000,18000000,135000
267,199451,67,150,494000000,235000000,28000
268,198951,72,161,592000000,26000000,33000
269,198950,69,154,566000000,26000000,26000
270,198717,71,146,563000000,285000000,78000
271,198706,72,163,506000000,285000000,67000
272,198164,67,141,495000000,225000000,31000
273,198141,72,161,457000000,21000000,32000
274,197655,77,203,436000000,21000000,19000
275,195093,74,205,576000000,265000000,44000
276,193525,74,176,407000000,185000000,1000
277,193469,73,172,424000000,195000000,43000
278,193283,72,174,382000000,215000000,61000
279,192984,78,190,346000000,195000000,46000
280,192318,69,165,479000000,27000000,67000
281,192227,72,181,444000000,225000000,115000
282,191180,74,172,366000000,215000000,84000
283,189505,67,143,389000000,21000000,140000
284,189125,71,165,374000000,22000000,115000
285,189117,74,187,328000000,185000000,50000
286,188803,68,141,441000000,21000000,1000
287,187936,77,165,289000000,17000000,77000
288,187754,69,152,441000000,21000000,1000
289,186561,72,168,494000000,25000000,130000
290,186345,70,159,342000000,185000000,99000
291,185103,74,183,213000000,125000000,73000
292,184484,73,181,428000000,225000000,125000
293,184431,64,134,30000000,20000000,15000
294,184200,76,183,418000000,22000000,120000
295,184144,68,146,452000000,21000000,22000
296,183711,72,176,342000000,18000000,125000
297,183574,71,168,366000000,215000000,45000
298,183498,72,165,153000000,9000000,59000
299,183376,72,176,34000000,17000000,18000
300,183280,75,198,238000000,125000000,57000
301,181786,76,185,263000000,125000000,1000
302,181291,69,152,437000000,23000000,130000
303,179847,77,187,255000000,15000000,73000
304,178509,76,203,37000000,20000000,140000
305,173521,74,170,255000000,15000000,73000
306,171897,67,148,399000000,19000000,35000
307,170481,74,198,315000000,15000000,44000
308,168530,76,192,25000000,125000000,17000
309,168435,76,176,23000000,135000000,45000
310,168354,77,198,25000000,125000000,15000
311,165229,73,165,238000000,125000000,115000
312,163489,74,181,23000000,135000000,52000
313,158963,70,139,213000000,125000000,98000
314,146530,68,150,89000000,48000000,62000
315,113422,69,152,12000000,8000000,12000
316,106231,72,172,168000000,8000000,29000
317,48940,77,198,57000000,3000000,60000
318,5479,73,185,3000000,15000000,10000
319,231677,73,154,554000000,27000000,110000
320,230271,67,139,323000000,17000000,40000
321,229906,70,174,504000000,265000000,54000
322,229237,74,187,399000000,21000000,49000
323,228702,71,154,416000000,26000000,19000
324,227928,70,148,425000000,20000000,125000
325,226456,70,148,522000000,24000000,36000
326,226271,74,154,494000000,26000000,64000
327,225508,73,170,431000000,21000000,105000
328,222509,70,154,563000000,25000000,120000
329,221992,69,154,354000000,24000000,22000
330,216475,71,154,357000000,17000000,33000
331,216451,67,161,405000000,205000000,73000
332,216409,67,148,,225000000,57000
333,216352,71,150,328000000,185000000,64000
334,216201,73,174,564000000,245000000,31000
335,214997,67,150,551000000,245000000,54000
336,213661,74,179,441000000,215000000,91000
337,212814,70,161,399000000,225000000,71000
338,212151,76,172,302000000,17000000,36000
339,210864,72,154,355000000,20000000,58000
340,210406,71,165,466000000,245000000,64000
341,210243,69,154,375000000,19000000,64000
342,210035,67,152,451000000,205000000,14000
343,209889,67,157,426000000,24000000,54000
344,208135,72,168,385000000,195000000,60000
345,207877,67,152,354000000,225000000,14000
346,207664,71,170,336000000,16000000,45000
347,206467,71,174,391000000,22000000,40000
348,205923,72,168,356000000,185000000,87000
349,205362,74,183,328000000,185000000,36000
350,205175,73,172,485000000,255000000,71000
351,204923,70,170,399000000,225000000,54000
352,204884,73,187,385000000,20000000,105000
353,204024,75,168,302000000,17000000,35000
354,203890,71,168,,18000000,57000
355,203486,69,152,382000000,215000000,40000
356,202857,72,179,306000000,18000000,76000
357,202685,73,185,,21000000,48000
358,201454,72,176,293000000,165000000,68000
359,200726,73,172,311000000,15000000,27000
360,200647,75,174,289000000,17000000,41000
361,200610,70,187,391000000,22000000,76000
362,200454,69,159,417000000,235000000,59000
363,199715,73,174,369000000,18000000,65000
364,199503,73,181,435000000,22000000,115000
365,199434,71,168,245000000,175000000,26000
366,199042,67,154,289000000,17000000,76000
367,196889,67,134,332000000,195000000,77000
368,195086,74,185,316000000,16000000,115000
369,193532,67,143,247000000,13000000,56000
370,193348,67,159,361000000,19000000,130000
371,193165,68,137,446000000,215000000,18000
372,193105,77,207,318000000,165000000,61000
373,192641,76,187,311000000,175000000,42000
374,191740,72,154,324000000,175000000,140000
375,190972,68,170,37000000,185000000,19000
376,190813,70,159,373000000,21000000,77000
377,189881,76,179,308000000,16000000,130000
378,189362,71,187,341000000,155000000,25000
379,189358,69,150,298000000,175000000,65000
380,188988,66,130,454000000,23000000,90000
381,187491,74,176,389000000,185000000,1000
382,187072,71,176,306000000,18000000,43000
383,185239,73,183,284000000,16000000,59000
384,183900,70,154,298000000,175000000,84000
385,182494,75,163,19000000,10000000,52000
386,179784,74,170,273000000,13000000,1000
387,179645,74,185,294000000,14000000,23000
388,177458,73,176,238000000,14000000,69000
389,177326,66,139,209000000,11000000,86000
390,175379,72,161,326000000,155000000,32000
391,173909,73,190,255000000,15000000,65000
392,173771,72,174,119000000,7000000,57000
393,173221,71,154,264000000,155000000,74000
394,172522,71,163,357000000,17000000,46000
395,170368,72,176,404000000,21000000,105000
396,169595,69,168,268000000,145000000,92000
397,169416,70,170,263000000,175000000,15000
398,169195,73,190,363000000,165000000,28000
399,167905,71,183,185000000,10000000,120000
400,164835,75,183,171000000,9000000,70000
401,162347,67,134,285000000,15000000,85000
402,161956,69,161,187000000,11000000,74000
403,159261,71,174,136000000,8000000,39000
404,159145,72,170,238000000,14000000,56000
405,157960,69,165,294000000,14000000,1000
406,156519,72,159,35000000,175000000,20000
407,144622,69,152,187000000,11000000,41000
408,139068,70,150,31000000,155000000,19000
409,138412,69,154,257000000,135000000,120000
410,112316,74,185,11000000,55000000,18000
411,45186,70,165,126000000,6000000,24000
412,239207,73,185,446000000,205000000,25000
413,235790,74,183,418000000,22000000,32000
414,235569,71,168,473000000,225000000,51000
415,234906,69,154,494000000,235000000,51000
416,234153,71,168,483000000,21000000,31000
417,234035,69,146,416000000,185000000,115000
418,230977,69,139,307000000,195000000,11000
419,230347,70,152,20000000,105000000,34000
420,230234,70,165,85000000,45000000,34000
421,230142,71,172,483000000,21000000,29000
422,228229,74,187,306000000,155000000,80000
423,227536,73,183,32000000,16000000,19000
424,226851,73,168,333000000,175000000,33000
425,226790,72,163,336000000,17000000,50000
426,226753,74,205,214000000,145000000,14000
427,226226,69,154,,20000000,72000
428,224334,68,152,25000000,125000000,16000
429,224293,71,176,431000000,205000000,59000
430,221639,71,168,425000000,20000000,140000
431,221540,74,179,24000000,12000000,19000
432,220477,74,176,333000000,175000000,73000
433,219985,74,179,257000000,145000000,63000
434,219809,74,187,,17000000,85000
435,218339,70,150,38000000,20000000,50000
436,216547,68,146,384000000,185000000,17000
437,215785,71,176,,20000000,65000
438,215316,74,185,305000000,14000000,26000
439,214584,74,194,126000000,9000000,22000
440,212692,69,150,395000000,20000000,65000
441,212623,71,170,435000000,20000000,40000
442,211748,72,159,346000000,195000000,37000
443,211688,68,146,359000000,165000000,33000
444,211575,74,185,,195000000,130000
445,211256,67,143,221000000,15000000,20000
446,210896,71,161,385000000,195000000,47000
447,209960,73,179,283000000,13000000,23000
448,208333,72,181,336000000,195000000,91000
449,208128,70,168,346000000,195000000,89000
450,207862,74,183,275000000,155000000,28000
451,207599,75,181,306000000,155000000,88000
452,207439,71,165,,0,0
453,206413,71,168,252000000,12000000,1000
454,205988,71,165,318000000,165000000,96000
455,205705,75,183,252000000,12000000,29000
456,205693,75,201,337000000,19000000,41000
457,205525,65,132,346000000,175000000,97000
458,205114,67,139,294000000,14000000,30000
459,205070,70,154,381000000,175000000,37000
460,204529,73,172,,195000000,105000
461,204399,72,157,312000000,145000000,24000
462,204120,74,187,25000000,115000000,17000
463,203841,79,168,257000000,13000000,48000
464,203747,70,163,326000000,165000000,85000
465,203605,72,179,249000000,14000000,39000
466,203042,77,209,277000000,14000000,39000
467,202849,78,216,286000000,145000000,51000
468,202695,76,179,306000000,155000000,56000
469,202477,70,161,365000000,185000000,56000
470,202335,74,198,318000000,165000000,73000
471,201377,72,172,348000000,16000000,38000
472,201144,73,176,196000000,115000000,53000
473,201119,70,181,242000000,115000000,1000
474,200536,71,172,257000000,145000000,37000
475,200458,70,163,316000000,16000000,79000
476,200318,73,159,311000000,175000000,42000
477,200315,70,143,336000000,16000000,30000
478,199206,72,168,219000000,115000000,55000
479,199110,70,174,381000000,175000000,24000
480,199069,72,181,374000000,18000000,19000
481,198784,69,154,385000000,195000000,94000
482,197853,69,168,298000000,155000000,82000
483,197061,76,198,296000000,15000000,99000
484,195861,73,183,252000000,12000000,1000
485,194879,71,170,326000000,155000000,34000
486,194794,75,183,285000000,15000000,92000
487,194229,69,159,294000000,135000000,27000
488,194022,73,176,24000000,12000000,15000
489,193886,71,170,255000000,15000000,44000
490,193352,71,170,275000000,155000000,81000
491,193061,72,170,295000000,155000000,65000
492,192789,72,163,252000000,12000000,35000
493,191687,75,196,219000000,115000000,63000
494,190815,71,159,168000000,12000000,22000
495,190778,74,194,184000000,125000000,16000
496,190544,72,163,,175000000,52000
497,190286,71,163,326000000,155000000,30000
498,190264,69,152,255000000,15000000,59000
499,189805,74,190,224000000,16000000,23000
500,189690,75,176,171000000,9000000,48000
501,189575,67,139,402000000,185000000,31000
502,189354,70,150,294000000,14000000,33000
503,189251,70,163,204000000,12000000,37000
504,188943,74,190,,115000000,61000
505,188942,72,192,279000000,145000000,86000
506,188829,72,170,204000000,12000000,50000
507,188388,70,163,315000000,15000000,31000
508,188005,72,165,24000000,135000000,51000
509,186569,76,185,165000000,10000000,61000
510,186547,71,161,213000000,125000000,85000
511,186537,73,159,284000000,135000000,41000
512,185122,76,190,179000000,105000000,45000
513,184120,72,161,147000000,7000000,39000
514,183427,69,172,213000000,115000000,120000
515,180819,70,161,257000000,135000000,110000
516,180334,75,187,19000000,10000000,64000
517,180216,70,148,209000000,11000000,97000
518,180175,71,179,333000000,155000000,35000
519,178424,69,152,20000000,95000000,27000
520,177604,70,159,152000000,8000000,99000
521,177600,70,168,263000000,125000000,30000
522,176915,70,161,237000000,11000000,20000
523,176600,68,154,284000000,135000000,45000
524,176376,71,168,135000000,9000000,13000
525,176104,72,179,221000000,13000000,23000
526,173373,76,192,167000000,9000000,91000
527,173208,72,165,17000000,10000000,21000
528,172114,70,165,173000000,115000000,12000
529,171833,71,168,295000000,155000000,125000
530,171579,72,185,273000000,13000000,30000
531,170815,69,159,257000000,135000000,65000
532,166706,75,179,114000000,6000000,68000
533,165109,72,174,17000000,10000000,51000
534,164468,76,194,157000000,85000000,99000
535,163711,69,163,111000000,6000000,75000
536,159147,71,176,162000000,85000000,37000
537,158625,74,187,85000000,45000000,37000
538,156713,76,185,,0,0
539,153244,74,201,192000000,12000000,70000
540,150418,74,196,204000000,12000000,46000
541,148119,73,172,187000000,85000000,1000
542,147782,69,154,94000000,45000000,1000
543,146760,71,157,113000000,55000000,53000
544,146748,77,196,42000000,2000000,17000
545,146562,66,146,179000000,85000000,39000
546,146536,67,132,242000000,115000000,22000
547,142754,69,161,97000000,45000000,20000
548,140293,76,174,102000000,6000000,51000
549,139997,70,172,29000000,17000000,27000
550,121944,72,174,87000000,6000000,11000
551,110677,74,183,126000000,6000000,26000
552,54050,69,183,18000000,12000000,13000
553,49369,73,174,10000000,8000000,10000
554,49031,73,187,17000000,1000000,10000
555,244369,70,152,414000000,18000000,1000
556,239818,73,181,33000000,15000000,10000
557,236632,69,146,288000000,18000000,18000
558,233419,69,150,396000000,18000000,13000
559,232097,71,148,342000000,18000000,27000
560,231943,71,154,378000000,18000000,79000
561,231478,69,174,342000000,18000000,54000
562,230938,72,168,,195000000,24000
563,230498,69,161,228000000,12000000,26000
564,230312,73,176,171000000,9000000,24000
565,230251,74,194,181000000,95000000,20000
566,230212,72,174,181000000,95000000,30000
567,230201,70,165,68000000,36000000,38000
568,229909,74,176,,0,0
569,228941,73,174,,19000000,84000
570,227796,70,152,342000000,18000000,26000
571,227290,76,198,218000000,10000000,21000
572,227234,73,183,286000000,145000000,43000
573,226161,72,161,36000000,16000000,110000
574,225997,70,154,337000000,155000000,1000
575,225953,70,172,288000000,18000000,17000
576,225711,73,174,285000000,15000000,43000
577,225663,71,152,357000000,17000000,61000
578,225647,73,165,148000000,10000000,21000
579,224254,69,172,28000000,175000000,27000
580,224069,73,163,326000000,15000000,38000
581,223682,69,154,252000000,12000000,37000
582,223061,65,137,353000000,17000000,15000
583,222028,73,159,257000000,145000000,43000
584,221660,74,176,297000000,145000000,91000
585,220018,73,172,284000000,16000000,39000
586,219932,71,163,403000000,175000000,27000
587,219576,74,174,301000000,145000000,17000
588,216497,72,174,302000000,17000000,53000
589,216388,68,148,378000000,18000000,31000
590,216150,72,159,241000000,125000000,94000
591,215353,72,172,284000000,16000000,67000
592,215061,70,176,182000000,13000000,32000
593,215057,72,183,204000000,115000000,31000
594,214947,73,183,272000000,145000000,26000
595,213991,70,154,286000000,145000000,55000
596,213516,68,139,353000000,17000000,16000
597,213160,72,165,345000000,15000000,1000
598,212150,68,150,316000000,16000000,53000
599,211368,68,154,293000000,165000000,48000
600,211267,69,163,244000000,155000000,25000
601,210455,67,154,,135000000,43000
602,210411,68,157,385000000,175000000,15000
603,210324,69,154,266000000,15000000,32000
604,208920,71,165,286000000,145000000,55000
605,208334,73,165,15000000,10000000,26000
606,207993,72,187,257000000,13000000,89000
607,207939,73,163,16000000,10000000,58000
608,207732,70,163,315000000,145000000,32000
609,206652,76,194,,115000000,13000
610,206304,73,176,247000000,125000000,56000
611,205407,72,154,275000000,155000000,49000
612,205193,73,174,249000000,14000000,26000
613,205192,69,152,394000000,175000000,120000
614,204638,73,183,231000000,13000000,48000
615,204614,67,148,204000000,115000000,60000
616,204525,72,170,261000000,12000000,26000
617,204311,75,212,,14000000,80000
618,204277,67,163,21000000,10000000,20000
619,204082,76,172,249000000,14000000,44000
620,203775,74,192,,115000000,71000
621,203757,72,194,315000000,145000000,1000
622,203483,70,154,266000000,15000000,32000
623,203362,70,154,368000000,175000000,48000
624,203106,67,137,284000000,16000000,35000
625,202648,71,157,348000000,16000000,29000
626,202562,69,176,249000000,14000000,44000
627,202325,67,150,213000000,12000000,50000
628,202201,74,172,213000000,12000000,28000
629,201862,74,176,185000000,10000000,115000
630,201519,69,148,293000000,165000000,59000
631,201510,72,168,25000000,13000000,68000
632,201508,72,170,221000000,13000000,41000
633,201505,72,179,21000000,10000000,32000
634,201325,77,190,133000000,7000000,23000
635,201143,72,172,283000000,13000000,26000
636,201042,72,179,237000000,12000000,61000
637,200641,70,172,213000000,125000000,41000
638,200260,72,159,221000000,15000000,20000
639,200155,77,176,244000000,155000000,27000
640,199823,70,154,337000000,155000000,28000
641,199767,73,181,279000000,145000000,98000
642,199561,69,159,231000000,11000000,21000
643,199439,76,192,284000000,16000000,27000
644,199416,70,159,263000000,125000000,31000
645,199304,72,172,231000000,12000000,110000
646,199189,73,192,308000000,16000000,89000
647,199005,72,181,207000000,105000000,41000
648,198715,70,161,263000000,125000000,32000
649,198200,71,181,179000000,105000000,33000
650,198118,74,170,213000000,12000000,46000
651,198031,71,159,322000000,155000000,17000
652,197083,72,176,153000000,9000000,33000
653,196978,71,146,306000000,155000000,77000
654,194957,73,157,231000000,12000000,110000
655,194761,69,159,273000000,13000000,35000
656,193738,70,165,238000000,125000000,65000
657,193601,73,179,222000000,125000000,56000
658,193171,67,137,189000000,9000000,34000
659,192991,72,172,286000000,145000000,105000
660,192679,69,159,21000000,10000000,20000
661,192678,73,174,273000000,13000000,32000
662,192598,71,170,286000000,13000000,25000
663,192064,71,176,33000000,145000000,25000
664,191076,70,170,247000000,13000000,61000
665,190456,69,148,227000000,115000000,94000
666,190243,76,196,136000000,8000000,41000
667,190149,72,176,20000000,95000000,27000
668,189682,72,181,19000000,10000000,58000
669,189681,68,172,20000000,105000000,60000
670,189560,75,201,181000000,95000000,66000
671,189461,68,150,296000000,15000000,83000
672,189433,76,190,17000000,10000000,39000
673,189423,74,176,17000000,10000000,44000
674,189271,70,163,261000000,12000000,36000
675,188081,68,154,28000000,13000000,30000
676,187735,70,165,275000000,125000000,1000
677,187347,70,154,,0,0
678,187052,72,176,227000000,115000000,36000
679,186832,68,165,162000000,95000000,62000
680,186148,74,179,178000000,10000000,32000
681,186132,70,179,231000000,125000000,110000
682,185431,74,176,246000000,12000000,60000
683,184949,70,152,133000000,7000000,57000
684,184881,69,165,238000000,125000000,65000
685,184826,69,152,228000000,12000000,75000
686,184134,72,168,181000000,95000000,57000
687,183909,67,134,204000000,12000000,34000
688,183892,71,183,179000000,85000000,19000
689,183580,74,185,225000000,125000000,35000
690,183497,75,179,119000000,7000000,48000
691,183285,74,183,227000000,115000000,58000
692,182002,74,194,25000000,115000000,27000
693,181820,72,174,247000000,13000000,79000
694,178311,70,159,247000000,115000000,29000
695,178224,69,161,228000000,12000000,90000
696,177723,72,176,152000000,8000000,47000
697,177644,75,190,154000000,75000000,105000
