Id;Location;Year;Kilometers_Driven;Fuel_Type
281;Jaipur;2011;55000;Petrol
282;Kochi;2018;11287;Diesel
283;Mumbai;2009;48000;Diesel
284;Kochi;2012;54308;Petrol
285;Jaipur;2009;78442;Petrol
286;Kolkata;2013;46000;Diesel
287;Coimbatore;2014;45051;Petrol
288;Hyderabad;2011;69000;Diesel
289;Ahmedabad;2014;49000;Petrol
290;Pune;2018;45000;Diesel
291;Pune;2015;64000;Diesel
292;Delhi;2009;60000;Petrol
293;Delhi;2015;62178;Petrol
294;Coimbatore;2012;58006;Diesel
295;Hyderabad;2010;74000;Petrol
296;Kochi;2015;77771;Diesel
297;Pune;2012;45275;Petrol
298;Chennai;2016;48000;Diesel
299;Kochi;2015;31652;Diesel
300;Hyderabad;2010;109000;Diesel
301;Mumbai;2015;31978;Petrol
302;Hyderabad;2011;70000;Petrol
303;Mumbai;2017;15000;Petrol
304;Coimbatore;2013;59138;Diesel
305;Kochi;2014;61726;Diesel
306;Delhi;2015;48000;Diesel
307;Chennai;2006;58000;Petrol
308;Kolkata;2011;60020;Diesel
309;Hyderabad;2014;77815;Petrol
310;Hyderabad;2017;29000;Diesel
311;Delhi;2017;44000;Diesel
312;Hyderabad;2011;108626;Diesel
313;Hyderabad;2012;71791;Petrol
314;Kochi;2012;91931;Petrol
315;Hyderabad;2000;158000;Diesel
316;Pune;2012;91183;Diesel
317;Delhi;2012;65000;Petrol
318;Hyderabad;2015;88428;Diesel
319;Pune;2008;138000;Diesel
320;Mumbai;2018;18000;Petrol
321;Mumbai;2011;60000;Petrol
322;Kolkata;2012;48000;Diesel
323;Hyderabad;2009;160000;Diesel
324;Kolkata;2008;40000;Petrol
325;Kochi;2014;51495;Diesel
326;Mumbai;2011;30000;Diesel
327;Coimbatore;2017;97430;Diesel
328;Pune;2008;42496;CNG
329;Pune;2012;83000;Diesel
330;Bangalore;2009;37000;Petrol
331;Kochi;2016;28503;Petrol
332;Hyderabad;2015;76496;Diesel
333;Pune;2011;79152;Petrol
334;Kolkata;2011;32000;Petrol
335;Ahmedabad;2009;35000;Petrol
336;Chennai;2004;105000;Petrol
337;Chennai;2006;56000;Petrol
338;Pune;2012;73000;Diesel
339;Pune;2012;38000;Petrol
340;Kolkata;2013;775000;Diesel
341;Kolkata;2008;80000;Petrol
342;Coimbatore;2016;24973;Petrol
343;Chennai;2016;45000;Diesel
344;Delhi;2010;87430;Petrol
345;Hyderabad;2014;133944;Diesel
346;Kolkata;2013;57000;Diesel
347;Coimbatore;2016;27904;Petrol
348;Kochi;2015;30717;Diesel
349;Bangalore;2012;80000;Diesel
350;Ahmedabad;2013;47304;Diesel
351;Jaipur;2005;100000;Petrol
352;Pune;2017;30000;Petrol
353;Mumbai;2014;68000;Diesel
354;Kolkata;2011;21000;Petrol
355;Hyderabad;2017;21000;Diesel
356;Jaipur;2007;119000;Petrol
357;Kochi;2019;13747;Petrol
358;Chennai;2009;620000;Petrol
359;Delhi;2013;70000;Diesel
360;Mumbai;2016;18000;Petrol
361;Chennai;2011;83000;Diesel
362;Mumbai;2015;130000;Diesel
363;Pune;2012;63400;Diesel
364;Kolkata;2003;65000;Petrol
365;Pune;2017;8350;Petrol
366;Kolkata;2014;45000;Diesel
367;Kolkata;2018;26200;Petrol
368;Bangalore;2011;11000;Petrol
369;Bangalore;2009;90000;Diesel
370;Mumbai;2015;74000;Petrol
371;Coimbatore;2015;37081;Petrol
372;Hyderabad;2017;39000;Diesel
373;Mumbai;2008;99000;Diesel
374;Chennai;2015;38000;Diesel
375;Chennai;2007;72000;Petrol
376;Chennai;2015;93000;Diesel
377;Mumbai;2017;5900;Diesel
378;Chennai;2014;25000;Diesel
379;Hyderabad;2010;68000;Diesel
380;Kochi;2017;35676;Petrol
381;Kochi;2015;74310;Diesel
382;Jaipur;2014;59364;Diesel
383;Kochi;2014;41380;Petrol
384;Bangalore;2017;33900;Diesel
385;Mumbai;2016;28000;Petrol
386;Hyderabad;2007;50958;Petrol
387;Chennai;2011;93982;Petrol
388;Pune;2010;95000;Petrol
389;Mumbai;2017;9000;Petrol
390;Delhi;2015;52516;Petrol
391;Bangalore;2015;20000;Petrol
392;Coimbatore;2017;56451;Diesel
393;Chennai;2014;37000;Petrol
394;Kolkata;2014;17400;Petrol
395;Coimbatore;2011;90207;Diesel
396;Chennai;2011;89616;Diesel
397;Pune;2014;85000;Diesel
398;Chennai;2014;79271;Diesel
399;Hyderabad;2012;56000;Diesel
400;Pune;2010;85001;Diesel
401;Hyderabad;2018;12000;Diesel
402;Jaipur;2010;125000;Petrol
403;Pune;2013;53000;Petrol
404;Coimbatore;2017;34990;Diesel
405;Pune;2011;49768;Petrol
406;Hyderabad;2013;56000;Diesel
407;Bangalore;2013;75000;Diesel
408;Hyderabad;2010;57000;Petrol
409;Kochi;2017;37542;Diesel
410;Coimbatore;2014;95649;Diesel
411;Jaipur;2013;35299;Diesel
412;Kochi;2017;28464;Diesel
413;Mumbai;2015;41000;Diesel
414;Pune;2017;9000;Petrol
415;Chennai;2010;92098;Diesel
416;Pune;2005;5834;Petrol
417;Jaipur;2017;40250;Petrol
418;Coimbatore;2018;22397;Petrol
419;Kolkata;2015;20800;Petrol
420;Kochi;2018;40322;Petrol
421;Mumbai;2013;52576;Petrol
422;Kolkata;2010;55000;Petrol
423;Mumbai;2016;47000;Petrol
424;Hyderabad;2010;42021;Diesel
425;Coimbatore;2017;23163;Petrol
426;Mumbai;2011;50000;Petrol
427;Mumbai;2014;11900;Petrol
428;Pune;2006;108000;Petrol
429;Bangalore;2013;37000;Diesel
430;Delhi;2014;30000;Petrol
431;Coimbatore;2018;12831;Petrol
432;Coimbatore;2012;143017;Diesel
433;Kochi;2018;13102;Petrol
434;Coimbatore;2019;24950;Diesel
435;Coimbatore;2011;57832;Diesel
436;Kochi;2016;34267;Petrol
437;Bangalore;2015;33000;Diesel
438;Ahmedabad;2007;55100;Petrol
439;Kolkata;2008;40000;Petrol
440;Kochi;2017;31841;CNG
441;Kolkata;2014;15000;Petrol
442;Coimbatore;2016;82756;Diesel
443;Coimbatore;2012;50243;Petrol
444;Hyderabad;2014;20600;Petrol
445;Coimbatore;2017;29952;Petrol
446;Mumbai;2017;15000;Petrol
447;Pune;2008;61938;Petrol
448;Hyderabad;2014;67000;Diesel
449;Kochi;2013;61672;Diesel
450;Coimbatore;2017;26185;Petrol
451;Bangalore;2014;38000;Diesel
452;Chennai;2011;67000;Petrol
453;Chennai;2010;66000;Petrol
454;Hyderabad;2015;80883;Diesel
455;Hyderabad;2016;80219;Diesel
456;Delhi;2018;12923;Diesel
457;Coimbatore;2016;86642;Diesel
458;Bangalore;2016;19235;Diesel
459;Coimbatore;2016;51002;Diesel
460;Pune;2016;6800;Petrol
461;Hyderabad;2012;82749;Diesel
462;Pune;2016;51000;Diesel
463;Delhi;2014;31465;Diesel
464;Hyderabad;2013;76476;Petrol
465;Kolkata;2017;14000;Diesel
466;Ahmedabad;2013;47000;Diesel
467;Kolkata;2011;48466;Petrol
468;Bangalore;2008;46000;Petrol
469;Hyderabad;2012;162663;Diesel
470;Coimbatore;2017;25142;Diesel
471;Delhi;2013;69000;Diesel
472;Chennai;2009;80524;Petrol
473;Kochi;2018;26405;Petrol
474;Chennai;2014;45000;Diesel
475;Kolkata;2012;64284;Diesel
476;Delhi;2015;27000;Petrol
477;Hyderabad;2018;3678;Petrol
478;Mumbai;2013;21000;Petrol
479;Mumbai;2015;67000;Diesel
480;Delhi;2015;24000;Diesel
481;Chennai;2011;75000;Diesel
482;Hyderabad;2008;179000;Diesel
483;Coimbatore;2017;47198;Diesel
484;Kolkata;2012;52000;Diesel
485;Jaipur;2011;91000;Diesel
486;Pune;2013;60000;Diesel
487;Kolkata;2013;37873;Diesel
488;Kolkata;2011;31000;Petrol
489;Pune;2017;129000;Diesel
490;Hyderabad;2004;78000;Petrol
491;Bangalore;2016;32000;Diesel
492;Jaipur;2010;59000;Petrol
493;Kochi;2016;35437;Diesel
494;Jaipur;2014;98000;Petrol
495;Chennai;2006;72000;Diesel
496;Pune;2015;79000;Petrol
497;Chennai;2004;29000;Petrol
498;Kochi;2013;66012;Petrol
499;Mumbai;2014;35000;Petrol
500;Ahmedabad;2011;75000;Petrol
501;Mumbai;2008;80000;Petrol
502;Kochi;2012;32717;Petrol
503;Delhi;2017;25000;Diesel
504;Mumbai;2014;79000;Diesel
505;Hyderabad;2010;86000;Diesel
506;Pune;2010;137000;Diesel
507;Mumbai;2015;25000;Petrol
508;Mumbai;2017;8500;Petrol
509;Bangalore;2015;34000;Diesel
510;Pune;2012;41629;Petrol
511;Hyderabad;2009;80227;Petrol
512;Kochi;2019;8587;Petrol
513;Delhi;2017;30000;Diesel
514;Pune;2013;64186;Diesel
515;Coimbatore;2015;76427;Diesel
516;Hyderabad;2011;75000;Diesel
517;Coimbatore;2013;27075;Petrol
518;Ahmedabad;2012;30000;Petrol
519;Chennai;2016;69434;Petrol
520;Jaipur;2014;56000;Petrol
521;Coimbatore;2017;49275;Diesel
522;Pune;2014;8700;Petrol
523;Ahmedabad;2014;18000;Petrol
524;Coimbatore;2017;41041;Diesel
525;Kochi;2009;80464;Diesel
526;Kochi;2019;20667;Petrol
527;Coimbatore;2013;60283;Petrol
528;Kochi;2017;31696;Petrol
529;Hyderabad;2010;100000;Diesel
530;Mumbai;2014;13361;Petrol
531;Coimbatore;2010;48394;Petrol
532;Jaipur;2014;47399;Petrol
533;Mumbai;2010;69000;Petrol
534;Coimbatore;2013;65278;Diesel
535;Jaipur;2005;108000;Diesel
536;Kolkata;2010;50645;Petrol
537;Hyderabad;2011;130002;Diesel
538;Hyderabad;2012;107000;Diesel
539;Coimbatore;2015;41950;Petrol
540;Delhi;2012;109000;Diesel
541;Mumbai;2016;9000;Petrol
542;Delhi;2014;43900;Diesel
543;Bangalore;2013;64000;Diesel
544;Kochi;2019;13190;Petrol
545;Mumbai;2009;77652;Petrol
546;Mumbai;2012;55000;Diesel
547;Ahmedabad;2012;59900;Diesel
548;Delhi;2015;73539;Diesel
549;Coimbatore;2017;31645;Diesel
550;Kochi;2009;69690;Petrol
551;Delhi;2016;41000;Diesel
552;Pune;2010;109200;Petrol
553;Pune;2012;80000;Diesel
554;Ahmedabad;2007;51000;Petrol
555;Pune;2013;105000;Diesel
556;Chennai;2013;179000;Diesel
557;Delhi;2013;12100;Petrol
558;Hyderabad;2017;31000;Diesel
559;Hyderabad;2015;50000;Diesel
560;Jaipur;2009;48000;Diesel
561;Chennai;2007;35000;Diesel
562;Ahmedabad;2016;100200;Diesel
563;Bangalore;2014;47000;Diesel
564;Jaipur;2015;63642;Diesel
565;Kochi;2015;62550;Diesel
566;Kochi;2015;37340;Diesel
567;Coimbatore;2016;38461;Diesel
568;Jaipur;2018;29000;Diesel
569;Pune;2010;31000;Petrol
570;Kolkata;2011;42086;Petrol
571;Chennai;2013;49000;Petrol
572;Coimbatore;2019;77240;Diesel
573;Jaipur;2012;105000;Diesel
574;Chennai;2014;35000;Diesel
575;Chennai;2006;83072;Petrol
576;Hyderabad;2012;202082;Diesel
577;Chennai;2004;129000;Petrol
578;Coimbatore;2018;33558;Diesel
579;Coimbatore;2012;60271;Diesel
580;Coimbatore;2017;45366;Diesel
581;Kolkata;2014;9500;Petrol
582;Kochi;2016;42362;Petrol
583;Chennai;2016;21000;Diesel
584;Mumbai;2012;15200;Diesel
585;Mumbai;2015;43690;Diesel
586;Kochi;2014;79926;Diesel
587;Kolkata;2013;53073;Diesel
588;Bangalore;2015;59000;Petrol
589;Bangalore;2006;47088;Petrol
590;Ahmedabad;2014;55000;Diesel
591;Hyderabad;2013;80430;Diesel
592;Delhi;2013;71932;Diesel
593;Mumbai;2014;19000;Diesel
594;Hyderabad;2011;81759;Diesel
595;Kochi;2018;52010;Diesel
596;Kochi;2016;58953;Petrol
597;Mumbai;2008;93000;Diesel
598;Delhi;2016;10000;Diesel
599;Coimbatore;2019;40674;Diesel
600;Mumbai;2015;50000;Diesel
601;Bangalore;2018;1331;Petrol
602;Pune;2010;60000;Petrol
603;Mumbai;2018;10003;Diesel
604;Mumbai;2016;25000;Diesel
605;Ahmedabad;2015;73000;Diesel
606;Hyderabad;2014;59962;Diesel
607;Jaipur;2012;72000;Diesel
608;Coimbatore;2016;20967;Diesel
609;Bangalore;2015;35000;Diesel
610;Coimbatore;2017;38056;Diesel
611;Pune;2009;94000;Diesel
612;Coimbatore;2010;64236;Petrol
613;Kolkata;2000;124000;Diesel
614;Mumbai;2014;7400;Petrol
615;Hyderabad;2017;52000;Diesel
616;Hyderabad;2015;68764;Petrol
617;Delhi;2013;64000;Diesel
618;Pune;2016;21558;Diesel
619;Mumbai;2013;37500;Diesel
620;Coimbatore;2016;14077;Petrol
621;Mumbai;2009;70000;Petrol
622;Kochi;2011;54316;Petrol
623;Hyderabad;2009;90764;Diesel
624;Chennai;2009;137000;Diesel
625;Pune;2013;127000;Petrol
626;Kochi;2016;51884;Diesel
627;Delhi;2014;67407;Diesel
628;Hyderabad;2014;107825;Diesel
629;Chennai;2006;82453;Diesel
630;Chennai;2007;30441;Petrol
631;Chennai;2002;70000;Petrol
632;Mumbai;2016;11000;Diesel
633;Hyderabad;2015;61000;Diesel
634;Delhi;2013;48454;Petrol
635;Jaipur;2017;37000;Diesel
636;Kochi;2017;32249;Diesel
637;Kolkata;2013;58000;Diesel
638;Jaipur;2017;28360;Petrol
639;Mumbai;2017;7000;Petrol
640;Coimbatore;2016;19658;Diesel
641;Hyderabad;2007;92000;Petrol
642;Kolkata;2013;25000;Petrol
643;Coimbatore;2016;37882;Diesel
644;Bangalore;2014;69330;Diesel
645;Delhi;2011;61000;Petrol
646;Kolkata;2010;35000;Petrol
647;Jaipur;2004;200000;Petrol
648;Jaipur;2009;82000;Diesel
649;Delhi;2012;72450;Diesel
650;Jaipur;2017;36381;Diesel
651;Coimbatore;2017;25559;Diesel
652;Chennai;2005;100000;Petrol
653;Jaipur;2015;94000;Diesel
654;Bangalore;2011;64357;Petrol
655;Mumbai;2017;10501;Petrol
656;Chennai;2009;47000;Diesel
657;Mumbai;2017;18000;Petrol
658;Chennai;2007;89000;Petrol
659;Coimbatore;2014;49964;Diesel
660;Mumbai;2014;35000;Diesel
661;Jaipur;2014;64000;Diesel
662;Mumbai;2013;36000;Petrol
663;Delhi;2012;78600;Diesel
664;Jaipur;2008;170000;Diesel
665;Pune;2015;65000;Diesel
666;Pune;2008;120300;Diesel
667;Pune;2016;21000;Petrol
668;Coimbatore;2017;18108;Diesel
669;Pune;2014;58407;Petrol
670;Pune;2014;49500;Petrol
671;Kochi;2013;37199;Petrol
672;Hyderabad;2012;62000;Diesel
673;Hyderabad;2015;59000;Diesel
674;Jaipur;2015;60000;Diesel
675;Bangalore;2007;39037;Diesel
676;Mumbai;2013;17003;Petrol
677;Hyderabad;2008;80400;Petrol
678;Jaipur;2012;75200;Diesel
679;Kochi;2017;41217;Diesel
680;Pune;2006;98293;Petrol
681;Pune;2017;54000;Petrol
682;Chennai;2016;17377;Petrol
683;Bangalore;2013;33800;Diesel
684;Hyderabad;2015;86157;Diesel
685;Hyderabad;2012;146824;Diesel
686;Chennai;2014;55000;Petrol
687;Hyderabad;2010;53293;Petrol
688;Pune;2017;38000;Diesel
689;Bangalore;2009;64000;Petrol
690;Hyderabad;2017;25058;Petrol
691;Kochi;2016;36700;Petrol
692;Mumbai;2011;35000;Petrol
693;Coimbatore;2016;22732;Petrol
694;Hyderabad;2014;48000;Diesel
695;Bangalore;2013;62084;Diesel
696;Kolkata;2012;39273;Diesel
697;Bangalore;2017;64798;Diesel
698;Jaipur;2010;100002;Diesel
699;Pune;2006;78000;Petrol
700;Coimbatore;2013;57717;Petrol
701;Chennai;2011;109000;Diesel
702;Coimbatore;2017;74515;Petrol
703;Coimbatore;2017;50484;Diesel
704;Kochi;2013;13452;Diesel
705;Kochi;2017;37688;Petrol
706;Chennai;2017;34000;Diesel
707;Pune;2014;120000;Diesel
708;Pune;2008;64000;Petrol
709;Delhi;2011;100000;Petrol
710;Jaipur;2014;75000;Diesel
711;Hyderabad;2012;86000;Diesel
712;Hyderabad;2015;69000;Diesel
713;Kochi;2015;41721;Petrol
714;Hyderabad;2017;13000;Petrol
715;Kolkata;2013;38998;Diesel
716;Kochi;2017;54250;Petrol
717;Bangalore;2013;45979;Diesel
718;Pune;2012;37000;Petrol
719;Coimbatore;2015;46983;Diesel
720;Bangalore;2012;40700;Diesel
721;Kochi;2015;43828;Petrol
722;Kolkata;2016;53000;Diesel
723;Ahmedabad;2015;100000;Diesel
724;Mumbai;2015;19000;Petrol
725;Jaipur;2016;84000;Diesel
726;Kochi;2018;37630;Petrol
727;Chennai;2010;67714;Petrol
728;Pune;2017;32000;Diesel
729;Pune;2010;51000;Petrol
730;Kochi;2015;58390;Diesel
731;Kolkata;2017;14000;Diesel
732;Delhi;2014;55818;Petrol
733;Chennai;2006;97800;Petrol
734;Kolkata;2012;52241;Diesel
735;Coimbatore;2018;25433;Diesel
736;Kochi;2015;40611;Diesel
737;Bangalore;2008;72000;Petrol
738;Hyderabad;2016;54631;Diesel
739;Bangalore;2007;60000;Diesel
740;Coimbatore;2016;24941;Petrol
741;Ahmedabad;2017;63939;Diesel
